Data e hora;Cidade
03/12/2024 - 13:41:46;Santo André
Valor total de todos os lotes
3300,00
Total de venda de todos os produtos
1340,00
Vendas do dia Hoje
Data das vendas;Nome do produto;Valor unitário;Quantidade comprada;Valor total da venda
2024-12-03T15:45:20;Biscoitos;10,00;20
2024-12-03T15:45:20;Biscoitos;10,00;20
2024-12-03T15:45:20;Biscoitos;10,00;20
2024-12-03T15:45:20;Biscoitos;10,00;20
2024-12-03T15:45:20;Biscoitos;10,00;20
2024-12-03T15:45:20;Biscoitos;10,00;20
2024-12-03T15:45:20;Biscoitos;10,00;20
2024-12-03T15:45:20;Biscoitos;10,00;20
2024-12-03T15:45:20;Biscoitos;10,00;20
2024-12-03T15:45:20;premium: chocolate trufado;10,00;40
2024-12-03T15:45:20;premium: chocolate trufado;10,00;40
2024-12-03T15:45:20;premium: chocolate trufado;10,00;40
2024-12-03T15:45:20;premium: chocolate trufado;10,00;40
2024-12-03T15:45:20;premium: chocolate trufado;10,00;40
2024-12-03T15:45:20;premium: chocolate trufado;10,00;40
2024-12-03T15:45:20;premium: chocolate trufado;10,00;40
2024-12-03T15:45:20;premium: chocolate trufado;10,00;40
2024-12-03T15:45:20;premium: chocolate trufado;10,00;40
Historico de todos os produtos cadastrados
Código do Produto;Nome do Produto;Preço (R$);Em Estoque;Categoria/Subtipo;Marca;Status produto ativo;Valor do lote;Quantidade de lote comprado;Total de venda desse produto
1;Nescolak;10,00;false;Extrusado;Senhor Sorvete;true;150,00;50;300,00
2;cookies;10,00;false;Extrusado;Senhor Sorvete;true;150,00;50;200,00
3;Biscoitos;10,00;false;Extrusado;Senhor Sorvete;true;150,00;50;400,00
4;brigadeirissimo;10,00;false;Extrusado;Senhor Sorvete;true;150,00;50;100,00
5;maximum: paçoca cremosa;10,00;false;Extrusado;Senhor Sorvete;true;150,00;50;340,00
6;premium: chocolate trufado;10,00;false;Extrusado;Senhor Sorvete;true;150,00;50;100,00
7;mousse de maracujá;10,00;false;Extrusado;Senhor Sorvete;true;150,00;50;50,00
8;black classico;10,00;false;Extrusado;Senhor Sorvete;true;150,00;50;100,00
9;premium: frutas vermelha;10,00;false;Extrusado;Senhor Sorvete;true;150,00;50;200,00
10;petit gateau;10,00;false;Extrusado;Senhor Sorvete;true;150,00;50;0,00
11;gourmet: cocada baiana;10,00;false;Extrusado;Senhor Sorvete;true;150,00;50;0,00
12;trufado chocolate;10,00;false;Extrusado;Senhor Sorvete;true;150,00;50;0,00
13;torta de limão;10,00;false;Extrusado;Senhor Sorvete;true;150,00;50;0,00
14;trufa;10,00;false;Extrusado;Senhor Sorvete;true;150,00;50;0,00
15;caramelo;10,00;false;Extrusado;Senhor Sorvete;true;150,00;50;0,00
16;bolo de brownie;10,00;false;Extrusado;Senhor Sorvete;true;150,00;50;0,00
17;bolo de cenoura;10,00;false;Extrusado;Senhor Sorvete;true;150,00;50;0,00
18;torta holandesa;10,00;false;Extrusado;Senhor Sorvete;true;150,00;50;0,00
19;torta de limão;10,00;false;Extrusado;Senhor Sorvete;true;150,00;50;0,00
20;avelã;10,00;false;Extrusado;Senhor Sorvete;true;150,00;50;0,00
21;bem casado;10,00;false;Extrusado;Senhor Sorvete;true;150,00;50;0,00
22;petit gateau;10,00;false;Extrusado;Senhor Sorvete;true;150,00;50;0,00
23;duo amore;10,00;false;Extrusado;Senhor Sorvete;true;150,00;50;0,00
24;brounie com doce de leite;10,00;false;Extrusado;Senhor Sorvete;true;150,00;50;0,00
25;Morango;7,00;false;Extrusado;Senhor Sorvete;true;150,00;50;0,00
26;Doce de leite;7,00;false;Extrusado;Senhor Sorvete;true;150,00;50;0,00
27;Chocolate;7,00;false;Extrusado;Senhor Sorvete;true;150,00;50;0,00
28;Leite condensado;7,00;false;Extrusado;Senhor Sorvete;true;150,00;50;0,00
29;Abacaxi suíço;7,00;false;Extrusado;Senhor Sorvete;true;150,00;50;0,00
30;Mousse de uva;7,00;false;Extrusado;Senhor Sorvete;true;150,00;50;0,00
31;Mamão com casca;7,00;false;Extrusado;Senhor Sorvete;true;150,00;50;0,00
32;Limão suíço;7,00;false;Extrusado;Senhor Sorvete;true;150,00;50;0,00
33;Coco branco;7,00;false;Extrusado;Senhor Sorvete;true;150,00;50;0,00
34;Coco queimado;7,00;false;Extrusado;Senhor Sorvete;true;150,00;50;0,00
35;Chiclete;7,00;false;Extrusado;Senhor Sorvete;true;150,00;50;0,00
36;Banana;7,00;false;Extrusado;Senhor Sorvete;true;150,00;50;0,00
37;Milho verde;7,00;false;Extrusado;Senhor Sorvete;true;150,00;50;0,00
38;Leite ninho;7,00;false;Extrusado;Senhor Sorvete;true;150,00;50;0,00
39;Uva;7,00;false;Extrusado;Senhor Sorvete;true;150,00;50;0,00
40;Leite condensado;7,00;false;Extrusado;Senhor Sorvete;true;150,00;50;0,00
41;Limão suíço;7,00;false;Extrusado;Senhor Sorvete;true;150,00;50;0,00
42;Caramelo;7,00;false;Extrusado;Senhor Sorvete;true;150,00;50;0,00
43;Leite ninho trufado;7,00;false;Extrusado;Senhor Sorvete;true;150,00;50;0,00
44;Brigadeiro;7,00;false;Extrusado;Senhor Sorvete;true;150,00;50;0,00
45;Chocolate black;7,00;false;Extrusado;Senhor Sorvete;true;150,00;50;0,00
46;Franuito;7,00;false;Extrusado;Senhor Sorvete;true;0,00;0;0,00
47;Tentação;7,00;false;Extrusado;Senhor Sorvete;true;0,00;0;0,00
48;Chocoblitz;7,00;false;Extrusado;Senhor Sorvete;true;0,00;0;0,00
49;ChocoTella;7,00;false;Extrusado;Senhor Sorvete;true;0,00;0;0,00
50;Queijo;7,00;false;Extrusado;Senhor Sorvete;true;0,00;0;0,00
51;Pistache;7,00;false;Extrusado;Senhor Sorvete;true;0,00;0;0,00
52;Açaí;7,00;false;Extrusado;Senhor Sorvete;true;0,00;0;0,00
53;Divino;7,00;false;Extrusado;Senhor Sorvete;true;0,00;0;0,00
54;Skimo;7,00;false;Extrusado;Senhor Sorvete;true;0,00;0;0,00
55;Delírio;7,00;false;Extrusado;Senhor Sorvete;true;0,00;0;0,00
56;Brigadeiro com morango;7,00;false;Extrusado;Senhor Sorvete;true;0,00;0;0,00
57;Chocolate trufado;7,00;false;Extrusado;Senhor Sorvete;true;0,00;0;0,00
58;Pistache classic;7,00;false;Extrusado;Senhor Sorvete;true;0,00;0;0,00
59;Banoffe pie;7,00;false;Extrusado;Senhor Sorvete;true;0,00;0;0,00
60;Torta de limão;7,00;false;Extrusado;Senhor Sorvete;true;0,00;0;0,00
61;Picolé zero leite;7,00;false;Extrusado;Senhor Sorvete;true;0,00;0;0,00
62;Niño trufado;10,00;false;Extrusado;Senhor Sorvete;true;0,00;0;0,00
63;Pistache com chocolate branco;10,00;false;Extrusado;Senhor Sorvete;true;0,00;0;0,00
64;Morango com leite condensado;10,00;false;Extrusado;Senhor Sorvete;true;0,00;0;0,00
65;Duete;10,00;false;Extrusado;Senhor Sorvete;true;0,00;0;0,00
66;Doce de leite com cobertura de chocolate;10,00;false;Extrusado;Senhor Sorvete;true;0,00;0;0,00
